,index,y
319,2016-11-15,
320,2016-11-16,
321,2016-11-17,
322,2016-11-18,
323,2016-11-19,
324,2016-11-20,
325,2016-11-21,
326,2016-11-22,
327,2016-11-23,
328,2016-11-24,
329,2016-11-25,
330,2016-11-26,
331,2016-11-27,
332,2016-11-28,
333,2016-11-29,
334,2016-11-30,
335,2016-12-01,
336,2016-12-02,
337,2016-12-03,
338,2016-12-04,
339,2016-12-05,
340,2016-12-06,
341,2016-12-07,
342,2016-12-08,
343,2016-12-09,
344,2016-12-10,
345,2016-12-11,
346,2016-12-12,
347,2016-12-13,
348,2016-12-14,
349,2016-12-15,
350,2016-12-16,
351,2016-12-17,
352,2016-12-18,
353,2016-12-19,
354,2016-12-20,
355,2016-12-21,
356,2016-12-22,
357,2016-12-23,
358,2016-12-24,
359,2016-12-25,
360,2016-12-26,
361,2016-12-27,
362,2016-12-28,
363,2016-12-29,
364,2016-12-30,
365,2016-12-31,
366,2017-01-01,
367,2017-01-02,
368,2017-01-03,
369,2017-01-04,
370,2017-01-05,
371,2017-01-06,
372,2017-01-07,
373,2017-01-08,
374,2017-01-09,
375,2017-01-10,
376,2017-01-11,
377,2017-01-12,
378,2017-01-13,
379,2017-01-14,
380,2017-01-15,
381,2017-01-16,
382,2017-01-17,
383,2017-01-18,
384,2017-01-19,
385,2017-01-20,
386,2017-01-21,
387,2017-01-22,
388,2017-01-23,
389,2017-01-24,
390,2017-01-25,
391,2017-01-26,
392,2017-01-27,
393,2017-01-28,
394,2017-01-29,
395,2017-01-30,
396,2017-01-31,
397,2017-02-01,
398,2017-02-02,
399,2017-02-03,
400,2017-02-04,
401,2017-02-05,
402,2017-02-06,
403,2017-02-07,
404,2017-02-08,
405,2017-02-09,
406,2017-02-10,
407,2017-02-11,
408,2017-02-12,
409,2017-02-13,
410,2017-02-14,
411,2017-02-15,
412,2017-02-16,
413,2017-02-17,
414,2017-02-18,
415,2017-02-19,
416,2017-02-20,
417,2017-02-21,
418,2017-02-22,
419,2017-02-23,
420,2017-02-24,
421,2017-02-25,
422,2017-02-26,
423,2017-02-27,
424,2017-02-28,
425,2017-03-01,
426,2017-03-02,
427,2017-03-03,
428,2017-03-04,
429,2017-03-05,
430,2017-03-06,
431,2017-03-07,
432,2017-03-08,
433,2017-03-09,
434,2017-03-10,
435,2017-03-11,
436,2017-03-12,
437,2017-03-13,
438,2017-03-14,
439,2017-03-15,
440,2017-03-16,
441,2017-03-17,
442,2017-03-18,
443,2017-03-19,
444,2017-03-20,
445,2017-03-21,
446,2017-03-22,
447,2017-03-23,
448,2017-03-24,
449,2017-03-25,
450,2017-03-26,
451,2017-03-27,
452,2017-03-28,
453,2017-03-29,
454,2017-03-30,
455,2017-03-31,
456,2017-04-01,
457,2017-04-02,
458,2017-04-03,
459,2017-04-04,
460,2017-04-05,
461,2017-04-06,
462,2017-04-07,
463,2017-04-08,
464,2017-04-09,
465,2017-04-10,
466,2017-04-11,
467,2017-04-12,
468,2017-04-13,
469,2017-04-14,
470,2017-04-15,
471,2017-04-16,
472,2017-04-17,
473,2017-04-18,
474,2017-04-19,
475,2017-04-20,
476,2017-04-21,
477,2017-04-22,
478,2017-04-23,
479,2017-04-24,
